seed,seed_target,candidate,feature_type,suggested_target,similarity,purity,coverage,ambiguity,context_rule_hint
买不起房,DOWN,买不起,char,DOWN,0.75,0.9231,12,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
怎么办,DOWN,怎么办。,char,DOWN,0.75,0.7333,11,4,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
大家都,AMBIGUOUS,大家都是,char,DOWN,0.75,0.625,10,6,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
怎么办,DOWN,了怎么办,char,DOWN,0.75,0.8333,10,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
和别人比,AMBIGUOUS,和别人,char,DOWN,0.75,0.6154,8,4,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
大家都,AMBIGUOUS,大家都很,char,DOWN,0.75,0.5714,8,5,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
又失败了,DOWN,失败了,char,DOWN,0.75,0.5714,8,4,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
怎么办,DOWN,怎么办了,char,DOWN,0.75,1.0,8,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
没办法,DOWN,，没办法,char,DOWN,0.75,0.7273,8,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
走不出来,DOWN,走出来,char,DOWN,0.75,0.6154,8,3,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
家里不让,DOWN,家里不,char,DOWN,0.75,0.7778,7,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
怎么办,DOWN,要怎么办,char,DOWN,0.75,0.7,7,3,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
没有选择,DOWN,没有选,char,DOWN,0.75,0.6364,7,4,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
emo,DOWN,emon,char,DOWN,0.75,0.7,7,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
天塌了,DOWN,天塌了！,char,DOWN,0.75,0.7,7,3,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
天塌了,DOWN,天塌了！,char,DOWN,0.75,0.7,7,3,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
大家都,AMBIGUOUS,来大家都,char,DOWN,0.75,0.8571,6,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
重男轻女,DOWN,重男轻,char,DOWN,0.75,1.0,6,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
重男轻女,DOWN,男轻女,char,DOWN,0.75,1.0,6,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
黑暗料理,DOWN,暗料理,char,DOWN,0.75,0.6667,6,3,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
黑暗料理,DOWN,黑暗料,char,DOWN,0.75,0.6667,6,3,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
怎么办,DOWN,怎么办！,char,DOWN,0.75,0.6,6,3,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
怎么办,DOWN,怎么办[,char,DOWN,0.75,0.75,6,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
怎么办,DOWN,#怎么办,hash,DOWN,0.75,1.0,6,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
怎么办,DOWN,道怎么办,char,DOWN,0.75,1.0,6,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
没办法,DOWN,也没办法,char,DOWN,0.75,0.6,6,3,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
peer,AMBIGUOUS,prese,char,DOWN,0.75,0.5556,5,4,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
peer,AMBIGUOUS,pre的,char,DOWN,0.75,0.8333,5,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
不敢拍照,DOWN,拍照不,char,DOWN,0.75,1.0,5,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
无法沟通,DOWN,法沟通,char,DOWN,0.75,0.8333,5,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
无法沟通,DOWN,无法沟,char,DOWN,0.75,1.0,5,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
不被理解,DOWN,理解不,char,DOWN,0.75,0.7143,5,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
买不起房,DOWN,不起房,char,DOWN,0.75,1.0,5,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
没办法,DOWN,我没办法,char,DOWN,0.75,0.8333,5,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
没办法,DOWN,没办法，,char,DOWN,0.75,1.0,5,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
抑郁症,DOWN,#抑郁症,hash,DOWN,0.75,0.625,5,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
emo,DOWN,lemo,char,DOWN,0.75,0.7143,5,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
天塌了,DOWN,天塌了。,char,DOWN,0.75,1.0,5,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
天塌了,DOWN,天塌了。,char,DOWN,0.75,1.0,5,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
建议工作日早上去,DOWN,工作日早上去,char,DOWN,0.75,1.0,5,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
崩溃了,DOWN,崩溃了，,char,DOWN,0.75,0.625,5,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
大家都,AMBIGUOUS,是大家都,char,DOWN,0.75,0.5714,4,3,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
没考上,DOWN,没有考上,char,DOWN,0.75,0.8,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
怎么办,DOWN,，怎么办，,char,DOWN,0.75,0.6667,4,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
怎么办,DOWN,会怎么办,char,DOWN,0.75,0.8,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
天塌了,DOWN,天塌了，,char,DOWN,0.75,0.6667,4,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
情绪崩溃,DOWN,情绪崩,char,DOWN,0.75,0.8,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
天塌了,DOWN,天塌了，,char,DOWN,0.75,0.6667,4,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
怎么办,DOWN,怎么办二,char,DOWN,0.75,0.6,3,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
怎么办,DOWN,件怎么办,char,DOWN,0.75,0.6,3,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
香港美甲,DOWN,香港美,char,DOWN,0.75,0.6,3,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
原生家庭的无奈,DOWN,原生家庭的,char,DOWN,0.7143,0.9286,13,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
原生家庭的无奈,DOWN,的原生家庭,char,DOWN,0.7143,0.9286,13,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
原生家庭的无奈,DOWN,原生家庭的,char,DOWN,0.7143,0.9286,13,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
原生家庭的无奈,DOWN,的原生家庭,char,DOWN,0.7143,0.9286,13,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
原生家庭的无奈,DOWN,生家庭的无,char,DOWN,0.7143,1.0,6,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
原生家庭的无奈,DOWN,家庭的无奈,char,DOWN,0.7143,1.0,6,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
原生家庭的无奈,DOWN,生家庭的无,char,DOWN,0.7143,1.0,6,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
原生家庭的无奈,DOWN,家庭的无奈,char,DOWN,0.7143,1.0,6,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
不用去太平山顶,DOWN,去太平山顶,char,DOWN,0.7143,0.8,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
怎么办,DOWN,么办,char,DOWN,0.6667,0.7089,168,43,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
只有我,AMBIGUOUS,我只,char,DOWN,0.6667,0.662,94,31,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
就我,AMBIGUOUS,，我就,char,DOWN,0.6667,0.5814,75,32,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
没办法,DOWN,办法,char,DOWN,0.6667,0.6435,74,26,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
还不起,DOWN,不起,char,DOWN,0.6667,0.5748,73,32,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
崩溃了,DOWN,崩溃,char,DOWN,0.6667,0.7604,73,15,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
没办法,DOWN,没办,char,DOWN,0.6667,0.6923,36,12,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
求助,DOWN,#求助,hash,DOWN,0.6667,0.825,33,5,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
睡不着,DOWN,不着,char,DOWN,0.6667,0.5636,31,15,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
睡不着,DOWN,睡不,char,DOWN,0.6667,0.5769,30,14,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
天塌了,DOWN,塌了,char,DOWN,0.6667,0.6667,28,12,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
天塌了,DOWN,塌了,char,DOWN,0.6667,0.6667,28,12,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
第一,AMBIGUOUS,是第一,char,DOWN,0.6667,0.5778,26,10,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
为什么我这么丑,DOWN,为什么我,char,DOWN,0.6667,0.6944,25,9,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
没考上,DOWN,考上,char,DOWN,0.6667,0.6216,23,7,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
天塌了,DOWN,天塌,char,DOWN,0.6667,0.6765,23,10,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
天塌了,DOWN,天塌,char,DOWN,0.6667,0.6765,23,10,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
小肚子,DOWN,肚子,char,DOWN,0.6667,0.6,21,9,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
不得不,DOWN,舍不得,char,DOWN,0.6667,0.6364,21,7,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
滚出我的生活,DOWN,我的生活,char,DOWN,0.6667,0.75,21,6,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
我真的不理解,DOWN,我真的不,char,DOWN,0.6667,0.8077,21,4,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
抑郁症,DOWN,抑郁,char,DOWN,0.6667,0.6429,18,6,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
没录取,DOWN,录取,char,DOWN,0.6667,0.5862,17,10,若高光词出现在没拿到、失败、被拒、焦虑、被限制语境中，支持 DOWN；成功展示则不支持 DOWN。
分手,DOWN,分手，,char,DOWN,0.6667,0.9444,17,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
为什么我这么丑,DOWN,我为什么,char,DOWN,0.6667,0.6296,17,6,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
不敢,DOWN,也不敢,char,DOWN,0.6667,0.6957,16,4,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
崩溃,DOWN,崩溃，,char,DOWN,0.6667,0.8824,15,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
没办法,DOWN,没法,char,DOWN,0.6667,0.5556,15,7,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
崩溃,DOWN,崩溃，,char,DOWN,0.6667,0.8824,15,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
崩溃了,DOWN,溃了,char,DOWN,0.6667,0.75,15,4,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
第一,AMBIGUOUS,。第一,char,DOWN,0.6667,0.6087,14,6,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
崩了,DOWN,崩溃了,char,DOWN,0.6667,0.7368,14,4,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
只能,DOWN,我只能,char,DOWN,0.6667,0.56,14,9,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
崩溃,DOWN,崩溃了,char,DOWN,0.6667,0.7368,14,4,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
分手,DOWN,#分手,hash,DOWN,0.6667,0.7368,14,5,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
崩溃,DOWN,崩溃了,char,DOWN,0.6667,0.7368,14,4,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
为什么我这么丑,DOWN,为什么这,char,DOWN,0.6667,0.6087,14,8,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
就我,AMBIGUOUS,我就说,char,DOWN,0.6667,0.619,13,7,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
就我,AMBIGUOUS,就给我,char,DOWN,0.6667,0.7222,13,4,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
不敢,DOWN,，不敢,char,DOWN,0.6667,0.6842,13,5,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
就我,AMBIGUOUS,。我就,char,DOWN,0.6667,0.5714,12,7,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
内耗,DOWN,内耗，,char,DOWN,0.6667,0.7059,12,3,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
就我,AMBIGUOUS,就让我,char,DOWN,0.6667,0.6111,11,6,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
羡慕,AMBIGUOUS,羡慕，,char,DOWN,0.6667,0.9167,11,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
崩溃,DOWN,崩溃的,char,DOWN,0.6667,0.7857,11,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
分手,DOWN,分手。,char,DOWN,0.6667,1.0,11,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
崩溃,DOWN,崩溃的,char,DOWN,0.6667,0.7857,11,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
就我,AMBIGUOUS,我就去,char,DOWN,0.6667,0.6667,10,4,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
配不上,AMBIGUOUS,不配,char,DOWN,0.6667,0.7692,10,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
失败,DOWN,研失败,char,DOWN,0.6667,0.8333,10,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
就我,AMBIGUOUS,我就问,char,DOWN,0.6667,0.9,9,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
就我,AMBIGUOUS,就说我,char,DOWN,0.6667,0.8182,9,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
就我,AMBIGUOUS,我就会,char,DOWN,0.6667,0.75,9,3,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
羡慕,AMBIGUOUS,很羡慕,char,DOWN,0.6667,0.6429,9,4,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
第一,AMBIGUOUS,第一年,char,DOWN,0.6667,0.6923,9,4,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
第一,AMBIGUOUS,第一时,char,DOWN,0.6667,0.9,9,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
失败,DOWN,失败的,char,DOWN,0.6667,0.6,9,4,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
冷暴力,DOWN,暴力,char,DOWN,0.6667,0.9,9,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
碎了,DOWN,碎了，,char,DOWN,0.6667,0.8182,9,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
崩溃,DOWN,崩溃大,char,DOWN,0.6667,1.0,9,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
