term,feature_type,suggested_target,count_UP,count_NEUTRAL,count_DOWN,total_docfreq,purity,coverage,ambiguity,ambiguity_label,log_odds_z_UP,chi2_UP,mi_UP,log_odds_z_NEUTRAL,chi2_NEUTRAL,mi_NEUTRAL,log_odds_z_DOWN,chi2_DOWN,mi_DOWN,max_abs_log_odds_z,max_chi2,max_mi,suggested_bucket,context_rule_hint,l1_coef_UP,l1_coef_NEUTRAL,l1_coef_DOWN,l1_available
工作,char,DOWN,203,94,313,610,0.5131,313,203,UP,-1.4237,0.0005,0.0,-5.1538,94.0435,0.006375,5.942,94.1386,0.005336,5.942,94.1386,0.006375,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.141966,-0.202744,0.42998,True
没有,char,DOWN,393,343,649,1385,0.4686,649,393,UP,-5.9172,18.2852,0.001121,0.2193,53.4358,0.003338,5.629,133.8121,0.007711,5.9172,133.8121,0.007711,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.121644,0.0,0.069237,True
给我,char,DOWN,150,92,265,507,0.5227,265,150,UP,-3.0196,3.3903,0.000207,-3.3119,55.2489,0.003655,5.8443,85.7153,0.004845,5.8443,85.7153,0.004845,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.223072,-0.287159,-0.037566,True
，但是,char,DOWN,127,101,252,480,0.525,252,127,UP,-4.3392,10.797,0.000672,-1.7645,34.0164,0.002197,5.787,82.8777,0.004681,5.787,82.8777,0.004681,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.008624,0.171529,-0.010782,True
之后,char,DOWN,87,63,182,332,0.5482,182,87,UP,-3.7022,7.8815,0.000492,-2.3343,31.597,0.00208,5.6422,70.8106,0.003979,5.6422,70.8106,0.003979,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.132262,-0.060635,0.270618,True
已经,char,DOWN,181,126,308,615,0.5008,308,181,UP,-3.4049,4.5231,0.000276,-2.3147,48.4728,0.00314,5.3581,82.3298,0.004678,5.3581,82.3298,0.004678,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,-0.073837,-0.102723,True
，就,char,DOWN,141,108,255,504,0.506,255,141,UP,-3.7524,6.8978,0.000425,-1.6071,33.5852,0.002162,5.0808,70.6928,0.004008,5.0808,70.6928,0.004008,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,-0.122437,0.0,True
但是,char,DOWN,240,184,394,818,0.4817,394,240,UP,-3.9806,6.4709,0.000396,-1.3411,46.9824,0.002993,5.0803,88.0317,0.005031,5.0803,88.0317,0.005031,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.250279,0.069828,-0.397731,True
大家,char,DOWN,250,256,286,792,0.3611,286,256,NEUTRAL,-2.623,1.2141,7.3e-05,5.0789,0.3126,1.9e-05,-1.9154,2.7514,0.000163,5.0789,2.7514,0.000163,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.306786,0.179362,0.0,True
结果,char,DOWN,104,105,221,430,0.514,221,105,NEUTRAL,-5.0544,17.0292,0.001076,-0.045,15.8092,0.000997,5.0233,65.4609,0.003703,5.0544,65.4609,0.003703,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.328527,0.242517,0.0,True
到底,char,DOWN,51,75,123,249,0.494,123,75,NEUTRAL,-4.9871,19.0434,0.001239,2.0503,1.1069,6.7e-05,3.1931,29.2605,0.00166,4.9871,29.2605,0.00166,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.239628,0.105896,0.141389,True
然后,char,DOWN,126,110,240,476,0.5042,240,126,UP,-4.3157,10.6634,0.000663,-0.7112,23.2343,0.001478,4.8614,65.1748,0.003696,4.8614,65.1748,0.003696,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
意思,char,DOWN,30,54,87,171,0.5088,87,54,NEUTRAL,-4.8454,19.5596,0.001307,2.1371,0.2103,1.3e-05,3.0328,23.7709,0.001343,4.8454,23.7709,0.001343,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.734236,0.476081,0.0,True
个月,char,DOWN,136,44,158,338,0.4675,158,136,UP,1.6016,7.5823,0.000442,-4.7915,64.7736,0.004529,2.7379,27.9036,0.001594,4.7915,64.7736,0.004529,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.518945,-0.409155,-0.269834,True
这样,char,DOWN,174,151,309,634,0.4874,309,174,UP,-4.482,10.665,0.000659,-0.4067,27.3115,0.001726,4.7622,71.8835,0.004097,4.7622,71.8835,0.004097,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.307363,0.026849,-0.010972,True
来，,char,DOWN,91,64,171,326,0.5245,171,91,UP,-3.0407,4.4645,0.000276,-2.0412,28.2117,0.001846,4.7526,54.9395,0.003099,4.7526,54.9395,0.003099,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.670124,0.115339,0.0,True
发现,char,DOWN,156,162,268,586,0.4573,268,162,NEUTRAL,-4.7146,12.7351,0.000791,1.7612,8.8103,0.000544,3.1089,42.6072,0.002445,4.7146,42.6072,0.002445,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.275993,0.203065,0.0,True
之前,char,DOWN,122,91,217,430,0.5047,217,122,UP,-3.2979,4.9984,0.000308,-1.6119,29.6808,0.001916,4.6391,58.8447,0.003335,4.6391,58.8447,0.003335,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.174811,0.0,0.0,True
，然,char,DOWN,69,59,146,274,0.5328,146,69,UP,-3.7046,8.4465,0.000531,-1.1449,17.4255,0.001123,4.6282,49.9803,0.002814,4.6282,49.9803,0.002814,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
情况,char,DOWN,58,47,126,231,0.5455,126,58,UP,-3.4241,7.213,0.000453,-1.4681,17.7325,0.001155,4.6251,47.4153,0.002663,4.6251,47.4153,0.002663,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.406564,0.0,0.108632,True
自己,char,DOWN,470,278,622,1370,0.454,622,470,UP,-1.3424,0.7162,4.3e-05,-3.6225,123.3883,0.007934,4.5045,104.8928,0.006063,4.5045,123.3883,0.007934,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.155148,-0.079368,0.18939,True
，因为,char,DOWN,90,50,154,294,0.5238,154,90,UP,-1.9363,1.0066,6.1e-05,-2.965,36.0841,0.002419,4.4885,48.9708,0.002762,4.4885,48.9708,0.002762,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.055185,0.001084,0.0,True
，但,char,DOWN,318,201,449,968,0.4638,449,318,UP,-2.07,0.1089,7e-06,-2.7053,76.5103,0.004927,4.4064,82.0873,0.004717,4.4064,82.0873,0.004927,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.046285,0.0,0.031343,True
，结,char,DOWN,57,53,127,237,0.5359,127,57,UP,-3.7937,9.4359,0.000597,-0.7686,12.947,0.00083,4.3957,44.3544,0.002495,4.3957,44.3544,0.002495,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.371489,-0.764304,0.0,True
的，,char,DOWN,282,227,441,950,0.4642,441,282,UP,-4.0713,6.3834,0.000389,-0.4422,41.9713,0.002645,4.3882,80.8226,0.004643,4.3882,80.8226,0.004643,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.108021,0.0,0.003716,True
有没,char,DOWN,65,89,125,279,0.448,125,89,NEUTRAL,-4.3656,13.0539,0.000831,2.8524,0.2246,1.4e-05,1.8291,16.6642,0.000957,4.3656,16.6642,0.000957,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.198044,-0.007738,0.20259,True
不能,char,DOWN,98,85,187,370,0.5054,187,98,UP,-3.7986,8.1406,0.000507,-0.6879,18.304,0.001166,4.3322,50.6996,0.002872,4.3322,50.6996,0.002872,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.139183,0.02171,0.0,True
有没有,char,DOWN,65,89,124,278,0.446,124,89,NEUTRAL,-4.3302,12.789,0.000813,2.8911,0.1864,1.1e-05,1.7585,16.026,0.000921,4.3302,16.026,0.000921,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
不会,char,DOWN,159,108,253,520,0.4865,253,159,UP,-2.5918,1.88,0.000114,-1.9802,38.7163,0.002505,4.2741,57.4588,0.003272,4.2741,57.4588,0.003272,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.044838,-0.22221,0.425392,True
因为,char,DOWN,260,176,383,819,0.4676,383,260,UP,-2.5604,1.0144,6.1e-05,-2.0083,56.2741,0.00361,4.2732,72.1403,0.004137,4.2732,72.1403,0.004137,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.105667,0.036588,-0.217151,True
别人,char,DOWN,65,39,120,224,0.5357,120,65,UP,-2.1819,1.9187,0.000118,-2.4514,25.9139,0.001732,4.269,41.7917,0.002351,4.269,41.7917,0.002351,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,-0.126057,0.154393,True
，然后,char,DOWN,67,57,137,261,0.5249,137,67,UP,-3.4569,7.0984,0.000444,-1.0028,15.7144,0.001011,4.264,43.799,0.002469,4.264,43.799,0.002469,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,-0.1425,True
，结果,char,DOWN,45,50,112,207,0.5411,112,50,NEUTRAL,-4.1993,12.8162,0.000826,-0.1195,7.8529,0.000497,4.2547,40.6169,0.002282,4.2547,40.6169,0.002282,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.136747,True
，因,char,DOWN,99,54,161,314,0.5127,161,99,UP,-1.665,0.4719,2.9e-05,-2.9879,37.7312,0.002525,4.2497,46.4747,0.002627,4.2497,46.4747,0.002627,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
题，,char,DOWN,50,38,105,193,0.544,105,50,UP,-2.9064,4.8887,0.000306,-1.5523,16.2912,0.001067,4.1892,38.9038,0.002184,4.1892,38.9038,0.002184,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.17437,0.0,0.0,True
觉得,char,DOWN,197,142,307,646,0.4752,307,197,UP,-2.9317,2.517,0.000153,-1.4939,39.8252,0.00255,4.1849,62.1513,0.003552,4.1849,62.1513,0.003552,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.16475,0.191981,-0.367143,True
后，,char,DOWN,72,61,143,276,0.5181,143,72,UP,-3.4152,6.7239,0.00042,-0.9301,15.8893,0.00102,4.1616,43.1501,0.002436,4.1616,43.1501,0.002436,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.664205,0.389117,0.0,True
R],char,DOWN,148,154,167,469,0.3561,167,154,NEUTRAL,-2.0225,0.6966,4.2e-05,4.1613,0.0319,2e-06,-1.6963,1.0244,6.1e-05,4.1613,1.0244,6.1e-05,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.065933,0.0,-0.06621,True
以为,char,DOWN,78,89,149,316,0.4715,149,89,NEUTRAL,-4.1562,11.0296,0.000695,1.5071,3.7744,0.000233,2.7934,27.6322,0.001577,4.1562,27.6322,0.001577,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.006174,0.0,0.0,True
孩子,char,DOWN,94,47,149,290,0.5138,149,94,UP,-1.2875,0.1114,7e-06,-3.251,39.1739,0.002647,4.1197,43.3027,0.002447,4.1197,43.3027,0.002647,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.284262,-0.054865,-0.121514,True
问题,char,DOWN,107,68,176,351,0.5014,176,107,UP,-2.1652,1.3274,8.1e-05,-2.2294,31.6419,0.002075,4.0705,45.7705,0.002594,4.0705,45.7705,0.002594,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.146165,-0.282062,True
的工作,char,DOWN,60,12,66,138,0.4783,66,60,UP,1.8104,6.5154,0.000375,-4.0597,38.0264,0.002834,2.0058,12.997,0.00074,4.0597,38.0264,0.002834,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.495688,-0.218095,0.0,True
只是,char,DOWN,111,56,169,336,0.503,169,111,UP,-1.1491,0.0129,1e-06,-3.3103,43.2137,0.002905,4.0394,44.55,0.002524,4.0394,44.55,0.002905,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.391875,-0.269041,-0.320842,True
到底是,char,DOWN,13,30,47,90,0.5222,47,30,NEUTRAL,-4.0204,14.5917,0.001008,1.9302,0.0006,0.0,2.4535,14.376,0.00081,4.0204,14.5917,0.001008,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
情，,char,DOWN,54,24,94,172,0.5465,94,54,UP,-1.2685,0.2932,1.8e-05,-3.155,29.3688,0.002037,4.018,35.4023,0.001987,4.018,35.4023,0.002037,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,-0.390837,0.295992,True
上班,char,DOWN,67,35,114,216,0.5278,114,67,UP,-1.5362,0.5293,3.2e-05,-2.8068,28.9229,0.001957,3.9624,37.1438,0.002092,3.9624,37.1438,0.002092,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,-0.076923,0.18593,True
底是,char,DOWN,14,31,47,92,0.5109,47,31,NEUTRAL,-3.9424,13.7228,0.00094,2.0305,0.0098,1e-06,2.2645,12.9736,0.000732,3.9424,13.7228,0.00094,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
的事,char,DOWN,122,62,181,365,0.4959,181,122,UP,-1.0433,0.0018,0.0,-3.3126,45.3115,0.003036,3.9394,44.5678,0.00253,3.9394,45.3115,0.003036,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.223202,0.0,0.061238,True
R][,char,DOWN,42,61,87,190,0.4579,87,61,NEUTRAL,-3.925,11.0087,0.000707,2.4187,0.1076,6e-06,1.7857,13.263,0.000759,3.925,13.263,0.000759,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.81631,0.158071,0.393146,True
只能,char,DOWN,61,37,110,208,0.5288,110,61,UP,-2.0109,1.5319,9.4e-05,-2.2385,22.8811,0.001525,3.9187,36.1294,0.002034,3.9187,36.1294,0.002034,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.198148,-0.02314,0.300788,True
联系,char,DOWN,20,32,61,113,0.5398,61,32,NEUTRAL,-3.9091,12.5829,0.00084,0.9391,1.2373,7.6e-05,3.1177,21.6567,0.001216,3.9091,21.6567,0.001216,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.939392,0.659898,0.276491,True
当时,char,DOWN,65,37,113,215,0.5256,113,65,UP,-1.7708,0.9476,5.8e-05,-2.4684,25.4825,0.001707,3.8897,36.1313,0.002036,3.8897,36.1313,0.002036,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,-0.177659,0.238428,True
还没,char,DOWN,61,27,101,189,0.5344,101,61,UP,-1.079,0.0953,6e-06,-3.2081,31.2328,0.002158,3.8855,34.6498,0.001949,3.8855,34.6498,0.002158,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.004465,-0.631247,0.467674,True
的事情,char,DOWN,77,25,99,201,0.4925,99,77,UP,0.6671,2.3056,0.000135,-3.8679,40.0771,0.002829,2.8279,23.0585,0.001308,3.8679,40.0771,0.002829,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.567581,0.0,-0.288477,True
。不,char,DOWN,42,26,83,151,0.5497,83,42,UP,-2.0944,2.0989,0.00013,-2.0661,17.7366,0.001189,3.8403,31.9311,0.001791,3.8403,31.9311,0.001791,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.614444,0.0,0.259814,True
，感觉,char,DOWN,35,50,79,164,0.4817,79,50,NEUTRAL,-3.8362,10.806,0.000699,1.7722,0.5603,3.4e-05,2.2756,16.2475,0.000924,3.8362,16.2475,0.000924,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.682092,0.574886,0.0,True
让我,char,DOWN,177,95,248,520,0.4769,248,177,UP,-0.9541,0.1284,8e-06,-3.29,55.8348,0.003689,3.8324,50.4141,0.002878,3.8324,55.8348,0.003689,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.130403,-0.1163,-0.173917,True
子，,char,DOWN,107,52,159,318,0.5,159,107,UP,-0.891,0.0159,1e-06,-3.3463,42.3727,0.002858,3.8236,40.5942,0.002301,3.8236,42.3727,0.002858,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.007243,-0.171596,0.0,True
妈妈,char,DOWN,71,30,111,212,0.5236,111,71,UP,-0.7751,0.0028,0.0,-3.4404,35.6348,0.002465,3.805,34.873,0.001966,3.805,35.6348,0.002465,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.325183,0.0,-0.196865,True
一看,char,DOWN,9,28,34,71,0.4789,34,28,NEUTRAL,-3.803,13.7374,0.000969,2.865,1.2502,7.3e-05,1.4491,6.6894,0.00038,3.803,13.7374,0.000969,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-1.07924,0.650547,0.0,True
，又,char,DOWN,45,27,86,158,0.5443,86,45,UP,-1.9709,1.6983,0.000105,-2.1504,18.8778,0.001267,3.7968,31.792,0.001784,3.7968,31.792,0.001784,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,-0.279587,0.26326,True
关系,char,DOWN,57,41,108,206,0.5243,108,57,UP,-2.4887,3.0363,0.000188,-1.5331,16.87,0.001103,3.7702,34.1077,0.001922,3.7702,34.1077,0.001922,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.066381,0.122112,-0.295853,True
面试,char,DOWN,74,20,77,171,0.4503,77,74,UP,1.9606,7.7846,0.000448,-3.7681,36.4397,0.002598,1.4921,10.485,0.000601,3.7681,36.4397,0.002598,ambiguous_or_review,若高光词出现在没拿到、失败、被拒、焦虑、被限制语境中，支持 DOWN；成功展示则不支持 DOWN。,0.336831,-0.720947,0.219787,True
的工,char,DOWN,69,20,82,171,0.4795,82,69,UP,1.1702,3.8827,0.000226,-3.7681,36.4397,0.002598,2.2663,16.4576,0.000936,3.7681,36.4397,0.002598,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,-0.056663,True
一点,char,DOWN,125,77,192,394,0.4873,192,125,UP,-1.784,0.4738,2.9e-05,-2.2846,34.839,0.00228,3.7511,43.2819,0.002462,3.7511,43.2819,0.002462,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,-0.258242,0.292503,True
但我,char,DOWN,52,23,88,163,0.5399,88,52,UP,-1.1009,0.1508,9e-06,-3.0279,27.3502,0.001894,3.7458,31.4469,0.001767,3.7458,31.4469,0.001894,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.106683,0.0,-0.040603,True
我，,char,DOWN,96,51,148,295,0.5017,148,96,UP,-1.2527,0.0835,5e-06,-2.8609,34.965,0.002338,3.741,38.3243,0.002171,3.741,38.3243,0.002338,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.418887,0.0,-0.242432,True
了…,char,DOWN,45,42,98,185,0.5297,98,45,UP,-3.2776,6.8929,0.000436,-0.5718,9.4227,0.000603,3.7194,32.3359,0.00182,3.7194,32.3359,0.00182,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,-0.436014,0.572696,True
告诉,char,DOWN,58,41,108,207,0.5217,108,58,UP,-2.392,2.6857,0.000166,-1.5686,17.1998,0.001125,3.7073,33.368,0.001881,3.7073,33.368,0.001881,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.342284,-0.17775,0.0,True
事情，,char,DOWN,37,6,51,94,0.5426,51,37,UP,0.6685,1.5612,9.1e-05,-3.699,30.8534,0.002398,2.8953,18.4553,0.001036,3.699,30.8534,0.002398,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.391665,-1.16006,0.0,True
么？,char,DOWN,14,34,39,87,0.4483,39,34,NEUTRAL,-3.6949,11.7464,0.000797,3.0984,1.3643,8e-05,1.0261,5.0976,0.000292,3.6949,11.7464,0.000797,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.361384,0.194419,0.068669,True
