error_type,meaning,extraction_goal,term,target_docfreq,contrast_docfreq,target_rate,contrast_rate,precision_like,log_odds,score,suggested_target_label,suggested_frame,suggested_cue_type,suggested_use
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,活薯@走走薯,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,活薯@走走薯@,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,游打,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,游打卡,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,照圣地，,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,照技巧拍,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,照技巧拍照,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,照构,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,照构图,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,生活薯@走,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,生活薯@走走,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,生活薯@走走薯,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,生活薯@走走薯@,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,的照片拍,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,的照片拍照,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,行香港拍,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,行香港拍照,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,费拍照,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,，出片率1,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,，出片率10,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,，出片率100,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,，出片率100%,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,片拍照,12,2,0.018,0.0003,0.8571,4.07,18.0231,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,**✨,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,*✨,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,2️⃣*,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,2️⃣**,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,3️⃣*,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,3️⃣**,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,4️⃣*,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,4️⃣**,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,5️⃣*,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,5️⃣**,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,✨--,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,✨---,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,上班我的,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,了拍照姿势不重,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,了拍照姿势不重样,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,加一些,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,反光板,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,圳拍照来,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,圳拍照来拍,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,圳拍照来拍照,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,圳拍照来拍照了,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,大学生摄,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,大学生摄影,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,好玩的是,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,好玩的是即,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,好玩的是即兴,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,好玩的是即兴发,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,好玩的是即兴发挥,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,学生摄,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,学生摄影,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,广角拍,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,广角拍照,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,应该选,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,建议工,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,建议工作,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,建议工作日,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,强强,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,影摄,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,影摄影,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,心先,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,拍照人,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,拍照太,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,拍照广角,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,拍照广角拍,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,拍照广角拍照,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,拍照最,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,拍照最好,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,拍照最好玩,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,拍照最好玩的,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,拍照最好玩的是,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,拍照最好玩的是即,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,拍照最好玩的是即兴发挥,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,摄影摄,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,摄影摄影,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,是即兴,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,是即兴发,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,是即兴发挥,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,最好玩,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,最好玩的,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,最好玩的是,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,最好玩的是即,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,最好玩的是即兴,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,最好玩的是即兴发,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,欧洲童,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,欧洲童话,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,洲童,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,洲童话,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,深圳拍照来,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,深圳拍照来拍,6,0,0.009,0.0,1.0,5.0166,17.1871,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
