target_label,frame,cue,cue_type,source_basis,rationale,weight_1_3,context_rule,count_UP,count_DOWN,count_NEUTRAL,empirical_label,empirical_share,merge_source,llm_docfreq,mean_confidence,example_post_ids
DOWN,conflict_or_danger,楼道里的防火门总是被开着,domain_frame,LLM_train_extraction+XHS,反复被开，暗示潜在的安全隐患或冲突，支持DOWN标签,3,描述门经常被开或无法关闭时使用,0,3,0,DOWN,1.0,train_llm,3,0.733,dc_00256|dc_00166|dc_00266
DOWN,conflict_or_danger,老太太家大门长达10天微微开着,domain_frame,LLM_train_extraction+XHS,暗示老太太可能失踪或受困，体现受限或危险，支持DOWN标签,3,描述门长时间微开或无人应答时使用,0,3,0,DOWN,1.0,train_llm,3,0.8,dc_00256|dc_00166|dc_00266
DOWN,conflict_or_danger,老太太家有破坏痕迹,domain_frame,LLM_train_extraction+XHS,描述财产被破坏，暗示潜在的冲突或受害，支持DOWN标签,3,描述财物损坏或被破坏时使用,0,3,0,DOWN,1.0,train_llm,3,0.783,dc_00256|dc_00166|dc_00266
DOWN,conflict_or_danger,警察怀疑老太太跳楼,domain_frame,LLM_train_extraction+XHS,直接暗示生命危险或极端受限状态，支持DOWN标签,3,描述警方或官方怀疑自杀或受害时使用,0,3,0,DOWN,1.0,train_llm,3,0.867,dc_00256|dc_00166|dc_00266
DOWN,consumer_control_loss,出奇招,domain_frame,LLM_train_extraction+XHS,“出奇招”暗示商家采取特殊措施应对退货，可能反映商家在应对退货压力时的被动或操控，体现消费者权益受损或被操控的情境。,3,当“出奇招”用于描述商家应对问题，暗示被动或操控时使用,0,2,0,DOWN,1.0,train_llm,2,0.7,dc_03437|dc_04416
DOWN,dangerous_innovation,惊现胶带战神,domain_frame,LLM_train_extraction+XHS,“惊现”暗示意外或危险，且“战神”可能暗示极限或激烈，支持DOWN,2,描述新奇但潜在危险的发明或行为时使用,0,2,0,DOWN,1.0,train_llm,2,0.7,dc_03401|dc_04380
DOWN,difficulty,爬上去怪陡的,domain_frame,LLM_train_extraction+XHS,描述爬山的困难，暗示活动的艰难和限制,2,描述活动难度或不便时,0,2,0,DOWN,1.0,train_llm,2,0.7,dc_00257|dc_00267
DOWN,disillusionment,现在工资只有3千块钱一个月,domain_frame,LLM_train_extraction+XHS,表达对留学回国后收入的失望，反映负面预期落空，支持DOWN标签,3,描述留学后实际情况与预期差距明显时,0,2,0,DOWN,1.0,train_llm,2,0.775,dc_02915|dc_03894
DOWN,emotional_dependency,母亲常常将女儿视为情感宣泄的出口,domain_frame,LLM_train_extraction+XHS,强调母亲对女儿的情感依赖和控制，体现被动和受限，符合DOWN倾向,3,用于描述家庭中情感依赖和控制关系，不适用于中立或正面描述,0,2,0,DOWN,1.0,train_llm,2,0.75,dc_02289|dc_03289
DOWN,emotional_disappointment,不好意思给姐妹们看的火冒三丈,affect_supporting,LLM_train_extraction+XHS,表达情绪激烈，暗示情感受挫或不满，支持DOWN标签,2,描述情绪激烈反应时使用,0,2,0,DOWN,1.0,train_llm,2,0.725,dc_03248|dc_04227
DOWN,emotional_distress,哭死😭,affect_supporting,LLM_train_extraction+XHS,表达强烈的负面情绪，暗示情绪低落和困境，支持DOWN标签,2,情绪词应结合具体困境使用，单独情绪词不一定支持DOWN,0,2,0,DOWN,1.0,train_llm,2,0.65,dc_03194|dc_04173
DOWN,emotional_distress,应激,affect_supporting,LLM_train_extraction+XHS,表现出极度的情绪压力和痛苦，支持DOWN标签,2,描述情绪极端反应和心理压力时使用,0,2,0,DOWN,1.0,train_llm,2,0.75,dc_03290|dc_04269
DOWN,emotional_distress,泪流满面,affect_supporting,LLM_train_extraction+XHS,表现情绪激烈，反映情感上的痛苦，支持DOWN标签,2,描述极端情绪反应时使用,0,2,0,DOWN,1.0,train_llm,2,0.7,dc_03304|dc_04283
DOWN,emotional_impact,童年就像一场下不尽的湿漉漉的梅雨,domain_frame,LLM_train_extraction+XHS,比喻童年阴暗、压抑，强调负面情感体验，支持DOWN标签,2,用于描述童年阴影或伤害时，避免在积极回忆中使用,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_02279|dc_03319
DOWN,failure,我觉得自己是个什么都做不好的失败者,relational_marker,LLM_train_extraction+XHS,明确表达自己失败的认知，强化DOWN的失败感,3,描述自己无法达成目标或感到无能时使用,0,2,0,DOWN,1.0,train_llm,2,0.85,dc_02635|dc_03824
DOWN,family_conflict,一件事情来来回回说好几遍,relational_marker,LLM_train_extraction+XHS,强调家庭成员之间反复沟通，体现关系紧张和低能动性，支持DOWN标签,3,描述家庭成员之间反复无果的沟通场景，不适用于普通信息传递,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03484|dc_04463
DOWN,family_conflict,不想待在家,relational_marker,LLM_train_extraction+XHS,表达对家庭环境的不满和逃避意愿，体现家庭关系紧张，支持DOWN标签,3,当表达逃避家庭、家庭不和谐时使用,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_00273|dc_00143
DOWN,family_conflict,他们都在想什么啊,relational_marker,LLM_train_extraction+XHS,表达对父母行为的困惑和不理解，暗示关系紧张，支持DOWN标签,2,用于表达对家庭成员行为的质疑和不满，不适用于中性描述,0,2,0,DOWN,1.0,train_llm,2,0.7,dc_03484|dc_04463
DOWN,family_conflict,原来爸妈真的不爱我,relational_marker,LLM_train_extraction+XHS,表达家庭关系破裂和失落感，体现家庭冲突和被忽视的情感，支持DOWN标签,3,在描述家庭关系破裂或被忽视时使用,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03533|dc_04512
DOWN,family_conflict,原生家庭的无奈,domain_frame,LLM_train_extraction+XHS,表达家庭关系中的无奈和冲突，暗示自己在家庭中处于被动或受限状态，支持DOWN标签。,3,描述家庭关系时，强调无奈、冲突或受限的情感，避免用积极或中立的词汇。,0,3,0,DOWN,1.0,train_llm,3,0.8,dc_01012|dc_02196|dc_01986
DOWN,family_conflict,听见妈妈在小声和爸爸说我怎么怎么不好,relational_marker,LLM_train_extraction+XHS,表达家庭成员之间的私下议论，暗示被否定或受限的状态，支持DOWN标签,3,当描述家庭成员私下议论、暗示不满或否定时使用,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_00146|dc_00276
DOWN,family_conflict,吵架,relational_marker,LLM_train_extraction+XHS,“吵架”直接表现家庭内部的冲突，强化被指责和情感受挫的氛围，支持DOWN标签,3,在描述家庭矛盾和情感受挫时使用,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03504|dc_04483
DOWN,family_conflict,女方条件实在让我不满意,relational_marker,LLM_train_extraction+XHS,直接表达对女方条件的不满，反映家庭对女方的否定态度,3,用于表达家庭成员对另一方的否定或不满,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03076|dc_04055
DOWN,family_conflict,她就发飙了,relational_marker,LLM_train_extraction+XHS,描述家庭成员情绪失控，体现家庭关系紧张，支持DOWN标签,3,当情绪激烈反应伴随家庭关系恶化时使用,0,2,0,DOWN,1.0,train_llm,2,0.775,dc_03268|dc_04247
DOWN,family_conflict,妈妈又到我房间来，刚开始还很和谐,domain_frame,LLM_train_extraction+XHS,暗示家庭关系的紧张变化，从和谐到冲突，支持DOWN标签,3,描述家庭关系的变化或冲突场景时使用，不适用于单纯描述日常生活,0,2,0,DOWN,1.0,train_llm,2,0.775,dc_03180|dc_04159
DOWN,family_conflict,完全不理解你的意思,relational_marker,LLM_train_extraction+XHS,表达与父母沟通不畅，体现家庭关系紧张，支持DOWN标签,3,当描述沟通困难和家庭矛盾时使用，不应用于描述普通交流,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03320|dc_04299
DOWN,family_conflict,我不是很满意,relational_marker,LLM_train_extraction+XHS,表达对女方的不满，暗示家庭关系存在矛盾或冲突,3,用于表达对家庭成员或关系对象的负面评价时,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03076|dc_04055
DOWN,family_conflict,我和我妹都被她删除,relational_marker,LLM_train_extraction+XHS,表现家庭成员之间的排斥和关系疏远，支持DOWN标签,3,当描述家庭成员被排除或关系疏远时使用,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03268|dc_04247
DOWN,family_conflict,我妈把我删了,relational_marker,LLM_train_extraction+XHS,直接表现家庭成员之间的关系恶化，体现家庭冲突和被控制感，支持DOWN标签,3,当描述家庭成员之间的激烈冲突或被排斥时使用,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03268|dc_04247
DOWN,family_conflict,我家里真的拿不出来,relational_marker,LLM_train_extraction+XHS,表达家庭经济困难，暗示自己处于劣势，支持DOWN标签,3,在描述家庭经济状况时使用，不能机械用于其他场景,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_02662|dc_03851
DOWN,family_conflict,我爸妈知道她自己出去玩了,relational_marker,LLM_train_extraction+XHS,描述父母对女朋友单方面行动的反应，体现家庭关系紧张和矛盾，支持DOWN标签,3,当描述家庭成员对某人行为的反应，表现出关系紧张或矛盾时使用,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03526|dc_04505
DOWN,family_conflict,我说那你刷那么频繁的牙干啥,relational_marker,LLM_train_extraction+XHS,这句话体现了家长对女儿行为的批评和冲突，暗示家庭关系紧张，支持DOWN标签,3,在家庭关系中，批评或指责可能引发冲突时使用,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_00147|dc_00277
DOWN,family_conflict,无法沟通,relational_marker,LLM_train_extraction+XHS,表达家庭成员之间沟通困难，反映关系紧张，支持DOWN标签,3,当描述家庭关系中的沟通障碍或冲突时使用,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03493|dc_04472
DOWN,family_conflict,有好强的代沟,relational_marker,LLM_train_extraction+XHS,强调代沟带来的隔阂和冲突，体现关系的疏离和压力，支持DOWN标签,3,描述家庭成员间代沟或隔阂时使用,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03493|dc_04472
DOWN,family_conflict,每次我爸都是从找东西这类小事情开始吵,relational_marker,LLM_train_extraction+XHS,描述家庭成员间的冲突，体现家庭关系紧张，支持DOWN标签,3,用于描述家庭成员间持续的冲突场景，不应用于单一事件或无冲突的描述,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03285|dc_04264
DOWN,family_conflict,沟通效率那么低,relational_marker,LLM_train_extraction+XHS,表达家庭成员之间沟通困难，反映家庭关系紧张，支持DOWN标签,3,用于描述家庭成员之间反复沟通无果的场景，不应用于普通描述沟通的句子,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03484|dc_04463
DOWN,family_conflict,舍不得哥哥结婚,relational_marker,LLM_train_extraction+XHS,暗示妹妹对哥哥的感情依赖或控制，表现出家庭关系中的矛盾和不平衡,3,描述家庭成员之间的情感冲突或矛盾时,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_02688|dc_03877
DOWN,family_conflict,莫名其妙的发些话,relational_marker,LLM_train_extraction+XHS,表现出家庭成员之间的矛盾和不理解，暗示关系紧张,3,用于描述家庭成员关系不和或冲突时,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_02688|dc_03877
DOWN,family_conflict,陷入父母矛盾,domain_frame,LLM_train_extraction+XHS,直接描述家庭矛盾，体现情感上的困境和无助，支持DOWN标签,3,用于表达家庭关系带来的负面情绪时使用,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03304|dc_04283
DOWN,family_control,为了控制子女的生活,relational_marker,LLM_train_extraction+XHS,直接表达老人通过控制子女生活来实现自身目的，体现被控制的状态,3,在描述家庭关系和控制意图时使用，不能用于描述普通家庭话题,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_02287|dc_04266
DOWN,family_control,将自身痛苦转嫁给女儿,relational_marker,LLM_train_extraction+XHS,描述母亲将痛苦转嫁给女儿，体现家庭中的情感控制和被动接受，支持DOWN标签,3,用于描述家庭关系中情感被动转嫁的场景，不应用于普通情感表达,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_02289|dc_03289
DOWN,family_control,我爹大喇喇的躺在我的访客列表里,relational_marker,LLM_train_extraction+XHS,描述父亲对个人空间的无视和干涉，体现家庭成员对个人隐私的控制，支持DOWN标签,3,当描述家庭成员对个人空间的干涉或控制时使用,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03356|dc_04335
DOWN,family_control,父母是需要自己“好好教育”的,relational_marker,LLM_train_extraction+XHS,强调父母对孩子的教育和控制，体现家庭中的压制和控制关系，支持DOWN标签,3,当描述父母对孩子的强制教育或控制意图时使用,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03373|dc_04352
DOWN,family_disconnection,没有家的概念和情感链接,domain_frame,LLM_train_extraction+XHS,直接描述家庭关系疏离，体现情感缺失和疏远，支持DOWN标签,3,描述家庭关系时，强调缺乏情感连接或疏离感,0,2,0,DOWN,1.0,train_llm,2,0.85,dc_02278|dc_04297
DOWN,family_dysfunction,原生家庭的无奈,domain_frame,LLM_train_extraction+XHS,表达家庭关系的无奈，暗示家庭环境对帖主造成负面影响，支持DOWN标签,3,描述家庭状态或情感时，强调无奈或受限,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_01706|dc_01636
DOWN,family_dysfunction,我妈的原生家庭放到今天算是很有问题的,domain_frame,LLM_train_extraction+XHS,直接指出家庭存在严重问题，明确支持DOWN标签,3,用在描述家庭背景或家庭关系问题时，避免泛泛而谈,0,2,0,DOWN,1.0,train_llm,2,0.85,dc_02285|dc_03285
DOWN,family_dysfunction,父母给的爱没有足够让孩子健康长大,domain_frame,LLM_train_extraction+XHS,表达父母的爱不足，暗示家庭关系中的伤害和限制，支持DOWN标签,3,描述家庭关系伤害时使用，避免在描述积极家庭时机械使用,0,2,0,DOWN,1.0,train_llm,2,0.85,dc_02279|dc_03319
DOWN,family_responsibility,为何选择为人父母,relational_marker,LLM_train_extraction+XHS,直接质疑父母的责任和选择，体现对父母的责备和不理解，支持DOWN标签,3,用于表达对父母责任的质疑或不满时,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_02283|dc_03323
DOWN,fear_of_loss,我害怕我失去这种安心,relational_marker,LLM_train_extraction+XHS,表现出对安全感的依赖和恐惧失去，体现被动和无能，支持DOWN标签,3,当表达对失去某种安全感或控制的担忧时使用,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03386|dc_04365
DOWN,financial_dependency,生活费不发了,domain_frame,LLM_train_extraction+XHS,涉及经济依赖和家庭资源的缺失，暗示被控制或缺乏自主，支持DOWN标签,3,在表达经济被剥夺或家庭资源缺失时使用,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03533|dc_04512
DOWN,financial_difficulty,上百万取不出来,relational_marker,LLM_train_extraction+XHS,表达投资或理财产品无法兑现，暗示财务受限或受挫，支持DOWN标签,3,描述财务状况或投资结果时使用，不能用于纯信息或广告内容,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03104|dc_04083
DOWN,financial_difficulty,买不起房,domain_frame,LLM_train_extraction+XHS,直接表达经济压力和生活困境，体现帖主的无助感，支持DOWN标签,3,用于描述经济或生活上的限制和困境时使用,0,3,0,DOWN,1.0,train_llm,3,0.8,dc_01011|dc_01635|dc_02195
DOWN,financial_difficulty,工资基本上全花在漂亮衣服和游戏上了,domain_frame,LLM_train_extraction+XHS,表达经济压力大，财务状况不佳，支持DOWN标签,3,描述财务状况时，强调花费比例或财务困境,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_02914|dc_03893
DOWN,financial_difficulty,打车花了470,domain_frame,LLM_train_extraction+XHS,花费较高，暗示经济压力或花费超出预期，体现负面经济体验,3,描述花费或经济状况时，不能用抽象或夸张的表达，否则可能误导为正面感受,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03062|dc_04041
DOWN,financial_difficulty,破产,domain_frame,LLM_train_extraction+XHS,直接表达经济困难或财务压力，明显体现负面状态,3,在旅游花费描述中出现“破产”字眼，极可能传达经济压力或负面体验,0,2,0,DOWN,1.0,train_llm,2,0.9,dc_03062|dc_04041
DOWN,financial_loss,感觉有点钱全花游戏里了,domain_frame,LLM_train_extraction+XHS,表达经济资源被游戏占用，暗示经济上的亏损或资源流失，支持DOWN标签,3,当描述花钱在游戏上导致资源紧张或亏损时使用,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_02938|dc_03917
DOWN,food_quality_discontent,黑暗料理,domain_frame,LLM_train_extraction+XHS,直接描述餐食为“黑暗料理”，表达极度不满和差评，支持DOWN标签,3,用于描述食物极差或令人不满的情况时使用,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03501|dc_04480
DOWN,future_uncertainty,未来不确定性,domain_frame,LLM_train_extraction+XHS,直接表达对未来的担忧和不确定，反映年轻人缺乏信心，支持DOWNWARD标签,3,当描述未来或前景时，强调不确定性或担忧,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_02909|dc_03888
DOWN,geological_disaster,华南地区整体地震发生强震的概率很低,domain_frame,LLM_train_extraction+XHS,强调地震发生概率低，反映地震风险较低的负面认知，支持DOWN标签,2,用于描述地震风险或概率时,0,2,0,DOWN,1.0,train_llm,2,0.7,dc_03428|dc_04407
DOWN,geological_disaster,"造成263人受伤, 101人死亡",domain_frame,LLM_train_extraction+XHS,直接描述地震带来的伤亡，强调灾难性后果，支持DOWN标签,3,描述灾难或负面后果时使用,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03428|dc_04407
DOWN,health_concern,对身体不好,domain_frame,LLM_train_extraction+XHS,强调健康受影响，暗示自己处于不利位置，体现被动和受限,2,当提及健康问题，表达无奈或受限制时使用,0,3,0,DOWN,1.0,train_llm,3,0.7,dc_02274|dc_03284|dc_04263
DOWN,health_concern,是不是身体在提醒我什么,relational_marker,LLM_train_extraction+XHS,暗示身体出现异常，带有担忧和恐惧的情绪，体现对健康的负面预期,3,用于表达身体异常引发的担忧时适用,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_00160|dc_00250
DOWN,health_concern,每天腰都特别疼,domain_frame,LLM_train_extraction+XHS,表达持续的身体不适，暗示身体状况不佳，支持DOWN标签,3,描述身体症状时，强调持续或加重的疼痛,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_00259|dc_00269
DOWN,health_concern,脸上频繁长痣,domain_frame,LLM_train_extraction+XHS,描述脸上长痣频繁，表达担忧，暗示身体出现问题，体现对健康的恐惧和无助感,3,用于表达身体异常引发的担忧时适用,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_00160|dc_00250
DOWN,health_difficulty,睡不着,domain_frame,LLM_train_extraction+XHS,直接描述睡眠困难，表现出生活的受限和无助，支持DOWN标签,3,描述健康或生活状态时，强调困难或受限,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_02961|dc_03940
DOWN,health_disease,飞蚊症,domain_frame,LLM_train_extraction+XHS,飞蚊症作为一种眼部疾病，常带来不适和困扰，体现负面健康状态，支持DOWN标签,3,描述疾病或健康问题时，强调痛苦或困扰的场景,0,2,0,DOWN,1.0,train_llm,2,0.85,dc_03457|dc_04436
DOWN,helplessness,人一直没找到,relational_marker,LLM_train_extraction+XHS,表现出无能为力、无法控制的状态，符合DOWN的受限感,3,描述无法找到或控制某事时使用,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03130|dc_04109
DOWN,homesickness,留子想家的心在这一刻又膨胀了,relational_marker,LLM_train_extraction+XHS,表达对家的思念和情感上的膨胀，体现负面情绪和被限制的状态，支持DOWN标签,3,描述留学生的情感状态，尤其是对家庭的思念时使用,0,2,0,DOWN,1.0,train_llm,2,0.85,dc_03181|dc_04160
DOWN,hopelessness,我好像被困在2023了,relational_marker,LLM_train_extraction+XHS,表达对未来的绝望感，强化DOWN的无助和困境,2,表达对未来无望或困境时使用,0,2,0,DOWN,1.0,train_llm,2,0.75,dc_02635|dc_03824
DOWN,hopelessness,我站在天台 留着眼泪,relational_marker,LLM_train_extraction+XHS,暗示绝望或自我伤害倾向，强化DOWN标签,3,描述极端情绪或自我伤害意向时使用,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_02966|dc_03945
DOWN,injury_and_recovery,希望小曾早点康复,domain_frame,LLM_train_extraction+XHS,表达对运动员康复的期待，暗示其目前处于受伤状态，体现低能动性和受限，支持DOWN标签,2,用于表达对受伤运动员的关心和康复期望,0,2,0,DOWN,1.0,train_llm,2,0.7,dc_03111|dc_04090
DOWN,interview_experience,特别赶,domain_frame,LLM_train_extraction+XHS,描述面试过程匆忙，暗示被轻视或不被重视，体现被动和受限，支持DOWN标签,3,描述面试流程或体验时，强调时间紧张或被赶时间,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03639|dc_04618
DOWN,job_hardship,半年都沒有找到心儀offer,domain_frame,LLM_train_extraction+XHS,表达求职困难，暗示自己处于劣势或受限制的状态，支持DOWN标签,3,在描述求职状态时，不能用来描述其他非求职相关的内容,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03369|dc_04348
DOWN,lack_of_control,只能搜索手机号看到vx,domain_frame,LLM_train_extraction+XHS,“只能搜索”暗示受限和缺乏自主权，符合DOWN标签,3,描述受限或无法自由操作的场景,0,2,0,DOWN,1.0,train_llm,2,0.75,dc_03087|dc_04066
DOWN,lack_of_freedom,完全没有了人生自由🆓,domain_frame,LLM_train_extraction+XHS,明确表达生活受限、缺乏自由，强化DOWN标签的相对劣势感,3,用于强调生活受控或缺乏自主时，不适用于描述自由或自主场景,0,2,0,DOWN,1.0,train_llm,2,0.85,dc_02918|dc_03897
DOWN,lack_of_support,家一点也成为不了避风的港湾,relational_marker,LLM_train_extraction+XHS,表达家庭无法提供情感支持，暗示家庭环境令人失望，支持DOWN标签,3,当描述家庭无法提供避风港或支持时使用,0,6,0,DOWN,1.0,train_llm,6,0.8,dc_00561|dc_01012|dc_01706|dc_02196|dc_01986
DOWN,lack_of_support,我需要的是安慰不是建议,relational_marker,LLM_train_extraction+XHS,明确表达自己缺乏情感支持，感受到被忽视或不被理解，支持DOWN标签,3,当表达对家庭或他人支持的渴望被忽略时使用,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03332|dc_04311
DOWN,life_challenge,战斗，是澳洲留子们生活的一部分,domain_frame,LLM_train_extraction+XHS,这句话强调留学生生活中的“战斗”，暗示生活艰难、受限，符合DOWN标签的生活困境和压力的特征,3,描述生活困难或挑战时使用，不能用于正面描述或鼓励场景,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03402|dc_04381
DOWN,life_difficulty,24小时不睡换来一天好觉,domain_frame,LLM_train_extraction+XHS,描述生活中极端的睡眠状态，暗示生活的困境和无奈，支持DOWN标签,3,描述极端生活状态或困境时使用,0,2,0,DOWN,1.0,train_llm,2,0.775,dc_02961|dc_03940
DOWN,life_difficulty,不知道自己坚持的到底是对是错,relational_marker,LLM_train_extraction+XHS,表达迷茫和不确定，反映生活中的困境和无助，支持DOWN标签,3,在表达自我迷茫和困惑时使用,0,2,0,DOWN,1.0,train_llm,2,0.775,dc_02303|dc_04292
DOWN,life_difficulty,我对这样的生活感到绝望,affect_supporting,LLM_train_extraction+XHS,直接表达绝望情绪，强化DOWN标签,3,用于表达强烈负面情绪和生活困境时,0,3,0,DOWN,1.0,train_llm,3,0.833,dc_03306|dc_03360|dc_04339
DOWN,life_difficulty,我已经很幸福了，但还是觉得生活很辛苦,affect_supporting,LLM_train_extraction+XHS,虽然提到幸福，但紧接着表达了生活的辛苦，反映内心矛盾和压力，支持DOWN,2,在表达感受时，强调生活的艰难和压力,0,2,0,DOWN,1.0,train_llm,2,0.7,dc_03360|dc_04339
DOWN,life_difficulty,每天早上七点起床,domain_frame,LLM_train_extraction+XHS,描述生活节奏紧张，反映生活压力大，支持生活困难的DOWN标签,3,用于描述生活压力或困境时使用，不适用于描述轻松或积极场景,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_02918|dc_03897
DOWN,life_difficulty,突然有种人生也就这样的感觉,affect_supporting,LLM_train_extraction+XHS,表达对人生现状的无奈和失望，支持DOWN标签,2,用于表达对生活的无助感，避免在积极或中性描述中使用,0,2,0,DOWN,1.0,train_llm,2,0.75,dc_03360|dc_04339
DOWN,life_difficulty,被父母催婚,relational_marker,LLM_train_extraction+XHS,表达家庭压力和被动接受的状态，体现生活困境和压力，支持DOWN标签,3,在描述家庭催促或生活压力时使用,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_02303|dc_04292
DOWN,life_disappointment,一上班整个人生就全完蛋了一样,domain_frame,LLM_train_extraction+XHS,表达对上班生活的极度失望和无助，体现负面情绪和生活困境，支持DOWN标签,3,用于描述对工作生活的极端负面感受时使用,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_02940|dc_03919
DOWN,loss_and_failure,之前购买的tb账号注销了,domain_frame,LLM_train_extraction+XHS,反映财产或资源的丧失，体现生活受限，支持DOWN标签,2,描述因事故或其他原因导致资源丧失时使用,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03608|dc_04587
